Department,NO,Name,Credit,Description
AERO,608,Nanomechanics,3,Application of mechanics concepts to nano-scale behavior of materials. Review of continuum mechanics; Extensions to generalized continua; Nonlocal elasticity; Nano-scale plasticity. Focus on multi-scale modeling: Dislocation Dynamics; Quasi-Continuum method; Molecular dynamics with introductions to quantum mechanics and statistical mechanics. Prerequisite: AERO 603/MEMA 602. Cross Listing: MEMA 608 and MSEN 608.
AERO,609,Sustainability Metrics and Life Cycle Assessment in Engineering,3,Concepts of sustainability with associated metrics; application of systems engineering tools to facilitate assessment of viable options on products and processes; assessment of impact on the entire biosphere; product life cycle analysis. Prerequisite: Graduate classification.
AERO,615,Numerical Methods for Internal Flow,3,"Methods for solving internal flow problems; viscous and inviscid compressible flow, Euler/Navier Stokes solvers, boundary conditions. Prerequisite: MATH 601 or approval of instructor."
AERO,616,Damage and Failure in Composite Materials,3,"Mechanisms and models related to damage and failure in composite materials subjected to mechanical loads. Prerequisite: Courses in composite materials, elasticity. Cross Listing: MEMA 616 and MSEN 636."
AERO,617,Micromechanics,3,"Eigenstrains; inclusions, and inhomogeneities; Eshelby's solution for an ellipsoidal inclusion; Eshelby's equivalent inclusion method. Effective elastic properties of composites; composite spheres and cylinders models; bounds on effective moduli; Hashin-Shtrikman bounds; applications to fiber, whisker and particulate reinforced composites; introduction to micromechanics of inelastic composites and solids with damage. Prerequisites: MEMA 602/AERO 603, or AERO 603/MEMA 602, AERO 605/MEEN 603. Cross Listing: MEMA 625/AERO 617."
AERO,618,Mechanics of Active Materials,3,Introduction to coupled field theories: constitutive response of materials with thermal and electromagnetic coupling; microstructural changes due to phase transformations; shape memory alloys; piezoelectric and magnetostrictive materials; active polymers and solutions. Micromechanics of active composites. Prerequisites: MEMA 602/AERO 603. Cross Listing: MEMA 626/AERO 618.
AERO,620,Unsteady Aerodynamics,3,"Theoretical formulation of unsteady airfoil theory and techniques used for determining airloads on oscillating lift surfaces; exact solutions and various approximations presented and evaluated; application to problems of unsteady incompressible, subsonic and transonic flows about airfoils and wings. Prerequisite: Approval of instructor."
AERO,621,Aeromechanics of Wind Turbines,3,Solid and fluid mechanics concepts applied to aerodynamics and aeroelasticity of wind turbine blades; failure analysis and structural design; composites and hybrid materials. Prerequisite: Graduate Classification.
AERO,622,Spacecraft Dynamics and Control,3,"Elements of analytical dynamics; modeling different types of spacecraft and control systems, sensors, and actuators; stability; control system design; effects of flexibility; attitude and orbital coupling; environmental effects. Prerequisites: AERO 422 or ECEN 420."
AERO,623,Optimal Spacecraft Attitude and Orbital Maneuvers,3,"Application of optimization and optimal control techniques to spacecraft maneuver problems; computation of open loop and feedback controls for linear and nonlinear spacecraft dynamical systems; low-thrust and impulsive control, discretization methods, case studies. Prerequisite: AERO 423 or equivalent."
AERO,624,Celestial Mechanics,3,"Analytical and numerical methods for computing spacecraft orbits under the influence of gravitational, aerodynamic, thrust and other forces; Keplerian two-body problem, perturbation methods, orbit determination, navigation and guidance for aerospace vehicles. Prerequisite: AERO 423 or equivalent."
AERO,625,Modern Control of Aerospace Systems,3,"Linear and nonlinear controllers for aircraft and spacecraft; state and output feedback of sampled-data control systems; feedback linearization and dynamic inversion; direct sampled-data design using optimal MIMO techniques; sensing considerations, sources and modeling of uncertainties unique to aircraft and spacecraft, robustness analysis. Prerequisite: AERO 422 or equivalent."
AERO,626,Estimation of Dynamic Systems,3,"Traditional concepts and recent advances in estimation related to modern dynamic systems found in aerospace disciplines; least squares estimation, state estimation, nonlinear filtering, aircraft position and velocity tracking, attitude determination of spacecraft vehicles, gyro bias estimation and calibration. Prerequisites: AERO 310 or equivalent; STAT 211 or equivalent."
